Start,End,Target,Mode,Max MOCI Elevation,Max Solar Elevation
10 Jun 2021 03:14:57.000,10 Jun 2021 03:18:57.000,Ground_Station,data_downlink,N/A,N/A
10 Jun 2021 03:18:57.000,10 Jun 2021 10:00:57.000,NA,cruise,N/A,N/A
10 Jun 2021 10:00:57.000,10 Jun 2021 10:01:00.000,Finsteraarhorn,imaging,0,60.8304946919389
10 Jun 2021 10:01:00.000,10 Jun 2021 10:01:06.000,NA,cruise,N/A,N/A
10 Jun 2021 10:01:06.000,10 Jun 2021 10:01:09.000,Dufourspitze,imaging,0,61.1526133577411
10 Jun 2021 10:01:09.000,10 Jun 2021 17:54:15.000,NA,cruise,N/A,N/A
10 Jun 2021 17:54:15.000,10 Jun 2021 17:54:18.000,Teton,imaging,0,62.3306884140059
10 Jun 2021 17:54:18.000,10 Jun 2021 20:40:06.000,NA,cruise,N/A,N/A
10 Jun 2021 20:40:06.000,10 Jun 2021 20:40:09.000,Grossglockner,imaging,0,0
10 Jun 2021 20:40:09.000,11 Jun 2021 10:09:00.000,NA,cruise,N/A,N/A
11 Jun 2021 10:09:00.000,11 Jun 2021 10:09:03.000,Tunupa,imaging,0,0
11 Jun 2021 10:09:03.000,11 Jun 2021 15:58:06.000,NA,cruise,N/A,N/A
11 Jun 2021 15:58:06.000,11 Jun 2021 16:02:03.000,Ground_Station,data_downlink,N/A,N/A
11 Jun 2021 16:02:03.000,11 Jun 2021 18:42:06.000,NA,cruise,N/A,N/A
11 Jun 2021 18:42:06.000,11 Jun 2021 18:42:09.000,Mount_Elbrus,imaging,0,0
11 Jun 2021 18:42:09.000,11 Jun 2021 18:42:36.000,NA,cruise,N/A,N/A
11 Jun 2021 18:42:36.000,11 Jun 2021 18:42:39.000,Mount_Kazbek,imaging,0,0
11 Jun 2021 18:42:39.000,11 Jun 2021 20:05:00.000,NA,cruise,N/A,N/A
11 Jun 2021 20:05:00.000,11 Jun 2021 20:05:03.000,Mount_Karisimbi,imaging,0,0
11 Jun 2021 20:05:03.000,12 Jun 2021 18:42:54.000,NA,cruise,N/A,N/A
12 Jun 2021 18:42:54.000,12 Jun 2021 18:42:57.000,Mount_Baker,imaging,0,59.49091947871
12 Jun 2021 18:42:57.000,13 Jun 2021 03:43:06.000,NA,cruise,N/A,N/A
13 Jun 2021 03:43:06.000,13 Jun 2021 03:45:42.000,Ground_Station,data_downlink,N/A,N/A
13 Jun 2021 03:45:42.000,13 Jun 2021 07:22:54.000,NA,cruise,N/A,N/A
13 Jun 2021 07:22:54.000,13 Jun 2021 07:22:57.000,Roman-Kosh,imaging,0,65.8709901387439
13 Jun 2021 07:22:57.000,13 Jun 2021 21:07:12.000,NA,cruise,N/A,N/A
13 Jun 2021 21:07:12.000,13 Jun 2021 21:07:15.000,Barre_des_Ecrins,imaging,0,0
13 Jun 2021 21:07:15.000,14 Jun 2021 16:26:18.000,NA,cruise,N/A,N/A
14 Jun 2021 16:26:18.000,14 Jun 2021 16:28:24.000,Ground_Station,data_downlink,N/A,N/A
14 Jun 2021 16:28:24.000,15 Jun 2021 07:08:21.000,NA,cruise,N/A,N/A
15 Jun 2021 07:08:21.000,15 Jun 2021 07:08:24.000,Alto_de_Nique,imaging,0,0
15 Jun 2021 07:08:24.000,15 Jun 2021 11:50:36.000,NA,cruise,N/A,N/A
15 Jun 2021 11:50:36.000,15 Jun 2021 11:50:39.000,Monte_Burney,imaging,0,0
15 Jun 2021 11:50:39.000,15 Jun 2021 17:40:21.000,NA,cruise,N/A,N/A
15 Jun 2021 17:40:21.000,15 Jun 2021 17:40:24.000,Mount_Graham,imaging,0,66.1682221631849
15 Jun 2021 17:40:24.000,16 Jun 2021 00:35:57.000,NA,cruise,N/A,N/A
16 Jun 2021 00:35:57.000,16 Jun 2021 00:36:00.000,Cabaray,imaging,0,0
16 Jun 2021 00:36:00.000,16 Jun 2021 02:37:57.000,NA,cruise,N/A,N/A
16 Jun 2021 02:37:57.000,16 Jun 2021 02:38:42.000,Ground_Station,data_downlink,N/A,N/A
16 Jun 2021 02:38:42.000,16 Jun 2021 09:24:09.000,NA,cruise,N/A,N/A
16 Jun 2021 09:24:09.000,16 Jun 2021 09:24:12.000,Mount_Etna,imaging,0,64.8536914736345
